ID,VWO EG1,VWO EG2,VWO EG3,VWO EG4,VWO EG5,VWO EG6,Doorlopend?,HAVO EG1,HAVO EG2,HAVO EG3,HAVO EG4,HAVO EG5,Doorlopend?,,MAVO EG1,MAVO EG2,MAVO EG3,MAVO EG4,Doorlopend?
2342079,,,,,,6.077777778,FALSE,,,,,,FALSE,,,,,,FALSE
2720796,,,,,,6.5,FALSE,,,,,,FALSE,,,,,,FALSE
2721288,,,,,,6.854545455,FALSE,,,,,,FALSE,,,,,,FALSE
2742936,,,,,,,FALSE,,,,,7.37,FALSE,,,,,,FALSE
2747118,,,,,,,FALSE,,,,5.54,,FALSE,,,,,,FALSE
2762247,,,,,,7,FALSE,,,,,,FALSE,,,,,,FALSE
2762370,,,,,,6.445454545,FALSE,,,,,,FALSE,,,,,,FALSE
2762493,,,,,,6.84,FALSE,,,,,,FALSE,,,,,,FALSE
2762739,,,,,,6.781818182,FALSE,,,,,,FALSE,,,,,,FALSE
2762985,,,,,,6.511111111,FALSE,,,,,,FALSE,,,,,,FALSE
2763231,,,,,,6.290909091,FALSE,,,,,,FALSE,,,,,,FALSE
2763723,,,,,5.527272727,,FALSE,,,,,,FALSE,,,,,,FALSE
2764830,,,,,,,FALSE,,,,,6.08,FALSE,,,,,,FALSE
2764953,,,,,,,FALSE,,,,,6.1,FALSE,,,,,,FALSE
2765814,,,,,,,FALSE,,,,,6.845454545,FALSE,,,,,,FALSE
2765937,,,,,,7.175,FALSE,,,,,,FALSE,,,,,,FALSE
2771349,,,,,,,FALSE,,,,,6.06,FALSE,,,,,,FALSE
2771718,,,,,,6.727272727,FALSE,,,,,,FALSE,,,,,,FALSE
2771841,,,,,,6.790909091,FALSE,,,,,,FALSE,,,,,,FALSE
2772087,,,,,,,FALSE,,,,,5.99,FALSE,,,,,,FALSE
2772333,,,,,,6.763636364,FALSE,,,,,,FALSE,,,,,,FALSE
2772456,,,,,,7.14,FALSE,,,,,,FALSE,,,,,,FALSE
2772702,,,,,,6.427272727,FALSE,,,,,,FALSE,,,,,,FALSE
2772825,,,,,,,FALSE,,,,6.19,6.23,FALSE,,,,,,FALSE
2773317,,,,,,,FALSE,,,,,6.272727273,FALSE,,,,,,FALSE
